Column1,Column2,Column3,Column4,Column5,Column6
49,50,54,25,25,2489
49,51,54,25,25,2514
49,51,54,25,25,2539
49,51,54,25,25,2563
49,51,54,25,25,2588
49,51,54,25,25,2612
49,51,54,25,25,2637
49,51,54,25,25,2661
49,50,54,25,25,2686
49,51,54,25,25,2711
49,51,54,25,25,2735
49,51,54,25,25,2760
49,50,54,25,25,2784
49,51,54,25,25,2809
49,51,54,25,25,2834
49,51,54,25,25,2858
49,50,54,25,25,2883
49,51,54,25,25,2907
49,51,54,25,25,2932
49,51,54,25,25,2956
49,51,54,25,25,2981
49,51,54,25,25,3006
49,51,54,25,25,3030
49,51,54,25,25,3055
49,51,54,25,25,3079
49,51,54,25,25,3104
49,51,54,25,25,3129
49,51,54,25,25,3153
49,51,54,25,25,3178
49,51,54,25,25,3202
49,51,54,25,25,3227
49,51,54,25,25,3251
49,51,54,25,25,3276
49,51,54,25,25,3301
49,51,54,25,25,3325
49,51,54,25,25,3350
49,51,54,25,25,3374
49,51,54,25,25,3399
49,51,54,25,25,3424
49,51,54,25,25,3448
49,51,54,25,25,3473
49,51,54,25,25,3497
49,51,54,25,25,3522
49,51,54,25,25,3547
50,51,54,25,25,3571
49,51,54,25,25,3596
49,51,54,25,25,3620
49,51,54,25,25,3645
49,51,54,25,25,3669
49,51,54,25,25,3694
49,51,54,25,25,3719
49,51,54,25,25,3743
49,51,54,25,25,3768
49,51,54,25,25,3792
49,51,54,25,25,3817
49,51,54,25,25,3842
49,50,54,25,25,3866
49,51,54,25,25,3891
49,51,54,25,25,3915
49,51,54,25,25,3940
49,51,54,25,25,3964
49,51,54,25,25,3989
49,51,54,25,25,4014
49,51,54,25,25,4038
49,51,54,25,25,4063
49,51,54,25,25,4087
49,51,54,25,25,4112
49,51,54,25,25,4137
49,51,54,25,25,4161
49,51,54,25,25,4186
49,51,54,25,25,4210
49,51,54,25,25,4235
49,51,54,25,25,4259
49,51,54,25,25,4284
49,51,54,25,25,4309
49,51,54,25,25,4333
